ADDR_LN_1,CITY,LATTD,LNGTD
204 W WIEDEMANN RD,FLATONIA,29.636681,-97.131463
18706 COUNTY ROAD 1,HALLETTSVILLE,29.207066,-96.838049
18744 COUNTY ROAD 1,HALLETTSVILLE,29.207324,-96.838004
18744 COUNTY ROAD 1,HALLETTSVILLE,29.207324,-96.838004
128 COUNTY ROAD 444,HALLETTSVILLE,29.212185,-96.981796
116 COUNTY ROAD 444,HALLETTSVILLE,29.212435,-96.982249
2846 COUNTY ROAD 18,HALLETTSVILLE,29.216149,-96.728912
2582 COUNTY ROAD 18,HALLETTSVILLE,29.221912,-96.726723
2582 COUNTY ROAD 18,HALLETTSVILLE,29.221912,-96.726723
2564 COUNTY ROAD 18,HALLETTSVILLE,29.222314,-96.726598
245 COUNTY ROAD 446,HALLETTSVILLE,29.222616,-96.943089
2925 COUNTY ROAD 444,HALLETTSVILLE,29.223861,-96.946174
2663 COUNTY ROAD 444,HALLETTSVILLE,29.223872,-96.950808
2104 COUNTY ROAD 444,HALLETTSVILLE,29.223891,-96.963848
18320 COUNTY ROAD 1,HALLETTSVILLE,29.224913,-96.845302
696 COUNTY ROAD 447,HALLETTSVILLE,29.227782,-96.932912
18054 COUNTY ROAD 1,HALLETTSVILLE,29.22841,-96.846404
17704 COUNTY ROAD 1,HALLETTSVILLE,29.232093,-96.847903
598 COUNTY ROAD 445,HALLETTSVILLE,29.232181,-96.964579
598 COUNTY ROAD 445,HALLETTSVILLE,29.232181,-96.964579
300 COUNTY ROAD 14,HALLETTSVILLE,29.233932,-96.843609
1847 COUNTY ROAD 14,HALLETTSVILLE,29.234221,-96.820168
753 COUNTY ROAD 445,HALLETTSVILLE,29.235128,-96.96446
17215 COUNTY ROAD 1,HALLETTSVILLE,29.236505,-96.850826
75 PRIVATE ROAD 1065,HALLETTSVILLE,29.239866,-96.810569
190 COUNTY ROAD 18,HALLETTSVILLE,29.240969,-96.696998
16693 COUNTY ROAD 1,HALLETTSVILLE,29.241902,-96.853329
4634 COUNTY ROAD 444,HALLETTSVILLE,29.243247,-96.937644
4802 COUNTY ROAD 444,HALLETTSVILLE,29.246633,-96.936087
13327 COUNTY ROAD 15,HALLETTSVILLE,29.246657,-96.847816
13329 COUNTY ROAD 15,HALLETTSVILLE,29.246664,-96.84786
4882 COUNTY ROAD 444,HALLETTSVILLE,29.248299,-96.935473
4882 COUNTY ROAD 444,HALLETTSVILLE,29.248299,-96.935473
3338 COUNTY ROAD 14A,HALLETTSVILLE,29.24889,-96.76277
224 COUNTY ROAD 15A,HALLETTSVILLE,29.249144,-96.836293
